,Airport,Hour,AIRPORT_POS,AvgDelay,LowDelay,HighDelay,Count
16,ATL,-1,"{'lat': 33.640440000000005, 'lon': -84.42694}",-7.03,-41.0,384.0,29.12
213,ORD,-1,"{'lat': 41.9796, 'lon': -87.90446}",4.83,-40.0,362.0,28.04
79,DFW,-1,"{'lat': 32.89595, 'lon': -97.0372}",23.4,-27.0,1201.0,25.96
78,DEN,-1,"{'lat': 39.85841, 'lon': -104.667}",21.59,-33.0,316.0,23.21
162,LAX,-1,"{'lat': 33.94254, 'lon': -118.40807}",5.23,-37.0,847.0,22.62
222,PHX,-1,"{'lat': 33.43417, 'lon': -112.00806000000001}",11.74,-33.0,292.0,17.71
138,IAH,-1,"{'lat': 29.98047, 'lon': -95.33972}",14.47,-23.0,235.0,17.17
260,SFO,-1,"{'lat': 37.619, 'lon': -122.37483999999999}",0.75,-39.0,306.0,17.12
160,LAS,-1,"{'lat': 36.08036, 'lon': -115.15233}",4.9,-41.0,235.0,13.71
179,MCO,-1,"{'lat': 28.428890000000003, 'lon': -81.31603}",1.64,-45.0,125.0,13.17
59,CLT,-1,"{'lat': 35.214009999999995, 'lon': -80.94313000000001}",-3.72,-40.0,234.0,11.96
259,SEA,-1,"{'lat': 47.44898, 'lon': -122.30931000000001}",-0.57,-37.0,192.0,11.5
152,JFK,-1,"{'lat': 40.63975, 'lon': -73.77893}",1.4,-49.0,512.0,11.46
97,EWR,-1,"{'lat': 40.6925, 'lon': -74.16866}",-5.78,-51.0,226.0,11.42
33,BOS,-1,"{'lat': 42.36435, 'lon': -71.00518000000001}",1.25,-41.0,264.0,9.79
105,FLL,-1,"{'lat': 26.07258, 'lon': -80.15275}",-3.71,-45.0,169.0,9.67
267,SLC,-1,"{'lat': 40.78839, 'lon': -111.97776999999999}",0.4,-54.0,181.0,9.25
168,LGA,-1,"{'lat': 40.77724, 'lon': -73.87261}",-2.29,-38.0,197.0,9.21
189,MIA,-1,"{'lat': 25.79325, 'lon': -80.29056}",1.71,-53.0,205.0,9.17
202,MSP,-1,"{'lat': 44.88055, 'lon': -93.21692}",3.11,-40.0,196.0,8.79
85,DTW,-1,"{'lat': 42.21206, 'lon': -83.34884}",-0.71,-44.0,241.0,8.71
45,BWI,-1,"{'lat': 39.1754, 'lon': -76.6682}",-2.89,-34.0,310.0,8.12
250,SAN,-1,"{'lat': 32.73356, 'lon': -117.18966}",7.3,-27.0,160.0,7.75
181,MDW,-1,"{'lat': 41.78598, 'lon': -87.75242}",0.59,-29.0,81.0,7.5
284,TPA,-1,"{'lat': 27.97547, 'lon': -82.53325}",2.02,-38.0,182.0,7.5
77,DCA,-1,"{'lat': 38.85208, 'lon': -77.03772}",-7.04,-39.0,61.0,6.88
221,PHL,-1,"{'lat': 39.87195, 'lon': -75.24114}",-3.48,-31.0,136.0,6.62
136,IAD,-1,"{'lat': 38.94453, 'lon': -77.45581}",1.88,-38.0,169.0,5.79
130,HNL,-1,"{'lat': 21.31869, 'lon': -157.92241}",16.53,-32.0,300.0,5.67
74,DAL,-1,"{'lat': 32.84711, 'lon': -96.85177}",8.92,-18.0,103.0,5.54
131,HOU,-1,"{'lat': 29.64542, 'lon': -95.27889}",10.0,-26.0,125.0,5.08
219,PDX,-1,"{'lat': 45.58872, 'lon': -122.5975}",1.82,-44.0,160.0,4.96
31,BNA,-1,"{'lat': 36.12448, 'lon': -86.67818}",6.76,-31.0,166.0,4.62
275,STL,-1,"{'lat': 38.747690000000006, 'lon': -90.35999}",7.47,-25.0,137.0,4.33
178,MCI,-1,"{'lat': 39.29761, 'lon': -94.71391}",7.92,-25.0,137.0,4.08
18,AUS,-1,"{'lat': 30.19453, 'lon': -97.66986999999999}",16.93,-29.0,132.0,4.0
248,RSW,-1,"{'lat': 26.536170000000002, 'lon': -81.75516999999999}",-1.22,-29.0,132.0,4.0
207,OAK,-1,"{'lat': 37.72129, 'lon': -122.22072}",4.14,-37.0,112.0,3.92
203,MSY,-1,"{'lat': 29.99339, 'lon': -90.25803}",8.85,-34.0,215.0,3.79
270,SNA,-1,"{'lat': 33.67566, 'lon': -117.86822}",1.01,-51.0,83.0,3.67
266,SJU,-1,"{'lat': 18.439420000000002, 'lon': -66.00183}",-2.08,-46.0,310.0,3.62
268,SMF,-1,"{'lat': 38.69542, 'lon': -121.59076999999999}",8.63,-22.0,89.0,3.58
265,SJC,-1,"{'lat': 37.36186, 'lon': -121.92901}",6.86,-32.0,113.0,3.54
218,PBI,-1,"{'lat': 26.683159999999997, 'lon': -80.09559}",-5.25,-46.0,143.0,3.38
239,RDU,-1,"{'lat': 35.87764, 'lon': -78.78747}",-1.32,-31.0,92.0,3.29
251,SAT,-1,"{'lat': 29.533690000000004, 'lon': -98.46978}",27.04,-18.0,307.0,3.25
57,CLE,-1,"{'lat': 41.41089, 'lon': -81.8494}",-5.42,-37.0,66.0,3.04
190,MKE,-1,"{'lat': 42.94722, 'lon': -87.89658}",8.41,-23.0,150.0,2.92
208,OGG,-1,"{'lat': 20.89865, 'lon': -156.43046}",7.52,-30.0,195.0,2.75
144,IND,-1,"{'lat': 39.71733, 'lon': -86.29438}",7.03,-35.0,157.0,2.71
226,PIT,-1,"{'lat': 40.49147, 'lon': -80.23286999999999}",3.0,-31.0,86.0,2.58
60,CMH,-1,"{'lat': 39.99799, 'lon': -82.89188}",-0.88,-24.0,99.0,2.5
1,ABQ,-1,"{'lat': 35.04022, 'lon': -106.60918999999998}",12.82,-14.0,68.0,2.12
22,BDL,-1,"{'lat': 41.93887, 'lon': -72.68323000000001}",0.58,-27.0,89.0,2.08
151,JAX,-1,"{'lat': 30.494059999999998, 'lon': -81.68786}",8.56,-25.0,148.0,2.0
288,TUS,-1,"{'lat': 32.11608, 'lon': -110.94103}",17.28,-18.0,100.0,1.96
212,ONT,-1,"{'lat': 34.056, 'lon': -117.60118999999999}",10.28,-16.0,121.0,1.92
44,BUR,-1,"{'lat': 34.20062, 'lon': -118.3585}",0.88,-16.0,50.0,1.79
71,CVG,-1,"{'lat': 39.04614, 'lon': -84.66216999999999}",1.95,-17.0,94.0,1.79
210,OMA,-1,"{'lat': 41.30252, 'lon': -95.89416999999999}",12.39,-37.0,144.0,1.71
43,BUF,-1,"{'lat': 42.94052, 'lon': -78.73217}",0.67,-22.0,66.0,1.62
183,MEM,-1,"{'lat': 35.04242, 'lon': -89.97667}",8.26,-19.0,94.0,1.62
209,OKC,-1,"{'lat': 35.39309, 'lon': -97.60073}",18.51,-15.0,103.0,1.62
13,ANC,-1,"{'lat': 61.174319999999994, 'lon': -149.99618999999998}",-6.82,-32.0,39.0,1.58
232,PSP,-1,"{'lat': 33.82922, 'lon': -116.50625}",6.84,-33.0,93.0,1.58
241,RIC,-1,"{'lat': 37.50517, 'lon': -77.31967}",-1.31,-35.0,77.0,1.5
91,ELP,-1,"{'lat': 31.80667, 'lon': -106.37781000000001}",24.2,-20.0,254.0,1.46
243,RNO,-1,"{'lat': 39.49858, 'lon': -119.76806}",4.34,-42.0,117.0,1.46
156,KOA,-1,"{'lat': 19.738770000000002, 'lon': -156.04563000000002}",5.0,-21.0,99.0,1.42
170,LIH,-1,"{'lat': 21.97598, 'lon': -159.33896000000001}",6.03,-21.0,49.0,1.42
287,TUL,-1,"{'lat': 36.198370000000004, 'lon': -95.88824}",20.06,-18.0,110.0,1.38
32,BOI,-1,"{'lat': 43.564440000000005, 'lon': -116.22278}",13.81,-18.0,92.0,1.33
234,PVD,-1,"{'lat': 41.724, 'lon': -71.42822}",-8.1,-30.0,14.0,1.25
25,BHM,-1,"{'lat': 33.562940000000005, 'lon': -86.75355}",6.43,-17.0,65.0,1.17
53,CHS,-1,"{'lat': 32.89865, 'lon': -80.04051}",0.52,-19.0,54.0,1.12
169,LGB,-1,"{'lat': 33.81772, 'lon': -118.15161}",-1.12,-28.0,102.0,1.08
101,FAT,-1,"{'lat': 36.77619, 'lon': -119.71813999999999}",3.12,-25.0,64.0,1.04
84,DSM,-1,"{'lat': 41.534929999999996, 'lon': -93.66068}",21.25,-17.0,167.0,1.0
171,LIT,-1,"{'lat': 34.7294, 'lon': -92.22425}",11.46,-20.0,46.0,1.0
112,GEG,-1,"{'lat': 47.619859999999996, 'lon': -117.53383999999998}",10.43,-17.0,95.0,0.96
258,SDF,-1,"{'lat': 38.17439, 'lon': -85.736}",-2.13,-31.0,33.0,0.96
15,ASE,-1,"{'lat': 39.22316, 'lon': -106.86885}",39.0,-13.0,196.0,0.92
65,COS,-1,"{'lat': 38.80581, 'lon': -104.70025}",25.36,-17.0,109.0,0.92
120,GRR,-1,"{'lat': 42.88082, 'lon': -85.52277}",13.45,-14.0,92.0,0.92
214,ORF,-1,"{'lat': 36.89461, 'lon': -76.20121999999999}",-3.14,-24.0,30.0,0.88
252,SAV,-1,"{'lat': 32.12758, 'lon': -81.20214}",-0.71,-19.0,100.0,0.88
253,SBA,-1,"{'lat': 34.42621, 'lon': -119.84037}",3.81,-21.0,62.0,0.88
75,DAY,-1,"{'lat': 39.90238, 'lon': -84.21938}",3.75,-23.0,75.0,0.83
293,TYS,-1,"{'lat': 35.812490000000004, 'lon': -83.99286}",2.95,-20.0,36.0,0.83
228,PNS,-1,"{'lat': 30.473309999999998, 'lon': -87.18744000000001}",6.84,-19.0,79.0,0.79
132,HPN,-1,"{'lat': 41.066959999999995, 'lon': -73.70756999999999}",-3.44,-30.0,147.0,0.75
148,ITO,-1,"{'lat': 19.72026, 'lon': -155.04847}",10.94,-8.0,91.0,0.75
200,MSN,-1,"{'lat': 43.13986, 'lon': -89.33751}",5.28,-18.0,65.0,0.75
245,ROC,-1,"{'lat': 43.11887, 'lon': -77.67238}",1.72,-21.0,62.0,0.75
107,FSD,-1,"{'lat': 43.58135, 'lon': -96.7417}",26.12,-14.0,165.0,0.71
139,ICT,-1,"{'lat': 37.64996, 'lon': -97.43305}",31.0,-28.0,159.0,0.71
150,JAN,-1,"{'lat': 32.311170000000004, 'lon': -90.07589}",7.94,-17.0,64.0,0.71
276,STT,-1,"{'lat': 18.337310000000002, 'lon': -64.97336}",-9.88,-37.0,31.0,0.71
121,GSO,-1,"{'lat': 36.09775, 'lon': -79.9373}",-1.69,-16.0,67.0,0.67
10,ALB,-1,"{'lat': 42.74812, 'lon': -73.80298}",1.73,-24.0,94.0,0.62
48,CAK,-1,"{'lat': 40.916309999999996, 'lon': -81.44247}",-6.73,-22.0,30.0,0.62
54,CID,-1,"{'lat': 41.88459, 'lon': -91.71087}",10.93,-21.0,55.0,0.62
188,MHT,-1,"{'lat': 42.93452, 'lon': -71.43706}",-8.13,-29.0,16.0,0.62
281,SYR,-1,"{'lat': 43.11119, 'lon': -76.10631}",-2.93,-25.0,24.0,0.62
298,XNA,-1,"{'lat': 36.28187, 'lon': -94.30681}",15.8,-17.0,93.0,0.62
46,BZN,-1,"{'lat': 45.7769, 'lon': -111.15301000000001}",13.21,-20.0,75.0,0.58
100,FAR,-1,"{'lat': 46.91935, 'lon': -96.81499000000001}",30.79,-20.0,156.0,0.58
149,JAC,-1,"{'lat': 43.60732, 'lon': -110.73773999999999}",7.71,-26.0,74.0,0.58
263,SHV,-1,"{'lat': 32.44663, 'lon': -93.8256}",17.79,-21.0,196.0,0.58
41,BTR,-1,"{'lat': 30.53316, 'lon': -91.14963}",13.23,-9.0,91.0,0.54
47,CAE,-1,"{'lat': 33.93884, 'lon': -81.11954}",0.23,-19.0,37.0,0.54
68,CRP,-1,"{'lat': 27.770359999999997, 'lon': -97.50121999999999}",26.38,1.0,107.0,0.54
94,EUG,-1,"{'lat': 44.123259999999995, 'lon': -123.21869}",9.54,-20.0,73.0,0.54
122,GSP,-1,"{'lat': 34.89567, 'lon': -82.21885999999999}",-5.15,-19.0,14.0,0.54
147,ISP,-1,"{'lat': 40.79524, 'lon': -73.10021}",-5.08,-16.0,11.0,0.54
255,SBP,-1,"{'lat': 35.23706, 'lon': -120.64238999999999}",21.0,-13.0,127.0,0.54
261,SGF,-1,"{'lat': 37.24433, 'lon': -93.38686}",34.46,-9.0,120.0,0.54
117,GRB,-1,"{'lat': 44.48507, 'lon': -88.12959000000001}",9.08,-18.0,118.0,0.5
134,HSV,-1,"{'lat': 34.64045, 'lon': -86.77311}",0.17,-25.0,32.0,0.5
166,LEX,-1,"{'lat': 38.036970000000004, 'lon': -84.60539}",-5.75,-18.0,25.0,0.5
167,LFT,-1,"{'lat': 30.20528, 'lon': -91.98765999999999}",7.58,-12.0,61.0,0.5
6,ACY,-1,"{'lat': 39.45758, 'lon': -74.57717}",17.0,-26.0,85.0,0.46
106,FNT,-1,"{'lat': 42.9655, 'lon': -83.74346}",-2.36,-22.0,42.0,0.46
163,LBB,-1,"{'lat': 33.66364, 'lon': -101.82278000000001}",45.0,-3.0,145.0,0.46
184,MFE,-1,"{'lat': 26.175829999999998, 'lon': -98.23861}",12.73,-3.0,42.0,0.46
196,MOB,-1,"{'lat': 30.69142, 'lon': -88.24283}",3.45,-22.0,69.0,0.46
12,AMA,-1,"{'lat': 35.21937, 'lon': -101.70593000000001}",16.0,-9.0,43.0,0.42
88,EGE,-1,"{'lat': 39.64257, 'lon': -106.9177}",7.0,-28.0,57.0,0.42
98,EYW,-1,"{'lat': 24.55611, 'lon': -81.75956}",-8.0,-21.0,45.0,0.42
116,GPT,-1,"{'lat': 30.40728, 'lon': -89.07009000000001}",8.0,-18.0,107.0,0.42
119,GRK,-1,"{'lat': 31.0649, 'lon': -97.8278}",44.2,-9.0,78.0,0.42
199,MRY,-1,"{'lat': 36.58698, 'lon': -121.84295}",-6.6,-17.0,7.0,0.42
236,RAP,-1,"{'lat': 44.045320000000004, 'lon': -103.05736999999999}",10.5,-15.0,97.0,0.42
273,SRQ,-1,"{'lat': 27.395329999999998, 'lon': -82.55411}",-11.7,-37.0,19.0,0.42
286,TTN,-1,"{'lat': 40.27669, 'lon': -74.81347}",11.2,-25.0,94.0,0.42
296,VPS,-1,"{'lat': 30.48325, 'lon': -86.5254}",-2.3,-17.0,35.0,0.42
24,BFL,-1,"{'lat': 35.4336, 'lon': -119.05677}",23.33,-20.0,129.0,0.38
42,BTV,-1,"{'lat': 44.473, 'lon': -73.15031}",-15.0,-25.0,0.0,0.38
114,GJT,-1,"{'lat': 39.122409999999995, 'lon': -108.52673}",7.22,-24.0,60.0,0.38
185,MFR,-1,"{'lat': 42.37423, 'lon': -122.8735}",8.56,-24.0,61.0,0.38
193,MLI,-1,"{'lat': 41.44853, 'lon': -90.50754}",11.56,-13.0,122.0,0.38
254,SBN,-1,"{'lat': 41.70895, 'lon': -86.31846999999999}",10.22,-13.0,97.0,0.38
26,BIL,-1,"{'lat': 45.80766, 'lon': -108.54286}",7.5,-20.0,58.0,0.33
205,MYR,-1,"{'lat': 33.67975, 'lon': -78.92833}",-7.5,-26.0,10.0,0.33
282,TLH,-1,"{'lat': 30.39653, 'lon': -84.35033}",-4.25,-14.0,16.0,0.33
61,CMI,-1,"{'lat': 40.03925, 'lon': -88.27806}",29.86,-13.0,95.0,0.29
95,EVV,-1,"{'lat': 38.03799, 'lon': -87.53063}",-0.43,-15.0,42.0,0.29
109,FWA,-1,"{'lat': 40.97847, 'lon': -85.19515}",-1.29,-11.0,16.0,0.29
140,IDA,-1,"{'lat': 43.514559999999996, 'lon': -112.07016999999999}",36.29,3.0,126.0,0.29
155,JNU,-1,"{'lat': 58.35496, 'lon': -134.57628}",-4.14,-22.0,23.0,0.29
158,LAN,-1,"{'lat': 42.7787, 'lon': -84.58736}",-8.29,-25.0,11.0,0.29
223,PIA,-1,"{'lat': 40.66424, 'lon': -89.69331}",21.86,-18.0,118.0,0.29
235,PWM,-1,"{'lat': 43.64617, 'lon': -70.30875}",-8.0,-15.0,-3.0,0.29
8,AEX,-1,"{'lat': 31.327370000000002, 'lon': -92.54856}",18.5,-6.0,106.0,0.25
19,AVL,-1,"{'lat': 35.43619, 'lon': -82.54181}",1.5,-16.0,31.0,0.25
27,BIS,-1,"{'lat': 46.77411, 'lon': -100.74672}",65.5,-6.0,182.0,0.25
30,BMI,-1,"{'lat': 40.477990000000005, 'lon': -88.91595}",18.67,-1.0,69.0,0.25
36,BQN,-1,"{'lat': 18.49486, 'lon': -67.12944}",-2.5,-29.0,14.0,0.25
146,ISN,-1,"{'lat': 48.17794, 'lon': -103.64235}",29.5,-19.0,71.0,0.25
157,KTN,-1,"{'lat': 55.35556999999999, 'lon': -131.71374}",0.67,-6.0,8.0,0.25
172,LNK,-1,"{'lat': 40.850970000000004, 'lon': -96.75925}",16.33,-19.0,123.0,0.25
176,MAF,-1,"{'lat': 31.942529999999998, 'lon': -102.20191}",19.83,-11.0,47.0,0.25
186,MGM,-1,"{'lat': 32.30064, 'lon': -86.39398}",4.83,-17.0,59.0,0.25
194,MLU,-1,"{'lat': 32.510870000000004, 'lon': -92.03769}",15.33,-11.0,56.0,0.25
238,RDM,-1,"{'lat': 44.25407, 'lon': -121.14996000000001}",-4.0,-20.0,27.0,0.25
289,TVC,-1,"{'lat': 44.741440000000004, 'lon': -85.58224}",-0.17,-5.0,13.0,0.25
299,YUM,-1,"{'lat': 32.65658, 'lon': -114.60597}",11.0,-2.0,35.0,0.25
5,ACV,-1,"{'lat': 40.978120000000004, 'lon': -124.10862}",13.8,-13.0,77.0,0.21
9,AGS,-1,"{'lat': 33.36996, 'lon': -81.9645}",-2.8,-11.0,20.0,0.21
17,ATW,-1,"{'lat': 44.25741, 'lon': -88.51948}",-10.2,-17.0,-5.0,0.21
51,CHA,-1,"{'lat': 35.035270000000004, 'lon': -85.20379}",1.8,-11.0,32.0,0.21
56,CLD,-1,"{'lat': 33.12723, 'lon': -117.27873000000001}",12.0,-3.0,25.0,0.21
67,CPR,-1,"{'lat': 42.908359999999995, 'lon': -106.46446999999999}",22.2,-3.0,82.0,0.21
69,CRW,-1,"{'lat': 38.37315, 'lon': -81.59319}",2.0,-22.0,38.0,0.21
82,DLH,-1,"{'lat': 46.84209, 'lon': -92.19365}",-1.2,-16.0,10.0,0.21
83,DRO,-1,"{'lat': 37.15152, 'lon': -107.75376999999999}",25.0,-15.0,68.0,0.21
99,FAI,-1,"{'lat': 64.81368, 'lon': -147.85967}",-16.2,-31.0,-2.0,0.21
115,GNV,-1,"{'lat': 29.69006, 'lon': -82.27178}",-7.0,-19.0,17.0,0.21
127,HDN,-1,"{'lat': 40.48118, 'lon': -107.21766000000001}",24.2,-11.0,78.0,0.21
133,HRL,-1,"{'lat': 26.228509999999996, 'lon': -97.65439}",10.2,-3.0,32.0,0.21
142,ILM,-1,"{'lat': 34.27061, 'lon': -77.90256}",-8.8,-14.0,-5.0,0.21
173,LRD,-1,"{'lat': 27.543740000000003, 'lon': -99.46154}",25.4,-13.0,107.0,0.21
177,MBS,-1,"{'lat': 43.53291, 'lon': -84.07965}",-2.0,-22.0,36.0,0.21
180,MDT,-1,"{'lat': 40.1935, 'lon': -76.7634}",3.2,-29.0,70.0,0.21
201,MSO,-1,"{'lat': 46.916309999999996, 'lon': -114.09056000000001}",-0.8,-15.0,35.0,0.21
204,MTJ,-1,"{'lat': 38.50887, 'lon': -107.89383000000001}",6.8,-27.0,38.0,0.21
229,PSC,-1,"{'lat': 46.26468, 'lon': -119.11903000000001}",21.4,-26.0,145.0,0.21
0,ABE,-1,"{'lat': 40.652359999999994, 'lon': -75.4404}",-8.5,-21.0,1.0,0.17
21,AZO,-1,"{'lat': 42.23488, 'lon': -85.55206}",-9.5,-18.0,8.0,0.17
29,BLI,-1,"{'lat': 48.79275, 'lon': -122.53753}",-8.0,-28.0,14.0,0.17
38,BRO,-1,"{'lat': 25.90683, 'lon': -97.42586}",38.75,14.0,112.0,0.17
52,CHO,-1,"{'lat': 38.13864, 'lon': -78.45286}",44.25,-7.0,104.0,0.17
72,CWA,-1,"{'lat': 44.77762, 'lon': -89.66678}",10.25,-3.0,35.0,0.17
81,DIK,-1,"{'lat': 46.79739, 'lon': -102.80195}",12.0,-16.0,86.0,0.17
104,FLG,-1,"{'lat': 35.13845, 'lon': -111.67121999999999}",29.0,18.0,42.0,0.17
123,GTF,-1,"{'lat': 47.482, 'lon': -111.37069}",3.75,-9.0,37.0,0.17
125,GUC,-1,"{'lat': 38.53396, 'lon': -106.93318000000001}",29.75,-9.0,95.0,0.17
187,MHK,-1,"{'lat': 39.14097, 'lon': -96.67083000000001}",7.0,-9.0,33.0,0.17
197,MOT,-1,"{'lat': 48.25938, 'lon': -101.28033}",3.75,-14.0,29.0,0.17
220,PHF,-1,"{'lat': 37.1319, 'lon': -76.49299}",-9.5,-21.0,-1.0,0.17
242,RKS,-1,"{'lat': 41.59422, 'lon': -109.06518999999999}",26.5,-13.0,104.0,0.17
271,SPI,-1,"{'lat': 39.84395, 'lon': -89.67761999999999}",37.5,5.0,117.0,0.17
285,TRI,-1,"{'lat': 36.47521, 'lon': -82.40742}",-8.5,-12.0,-6.0,0.17
4,ACT,-1,"{'lat': 31.611290000000004, 'lon': -97.23052}",60.67,39.0,75.0,0.12
20,AVP,-1,"{'lat': 41.33815, 'lon': -75.72426999999999}",-13.33,-20.0,-6.0,0.12
34,BPT,-1,"{'lat': 29.95083, 'lon': -94.02069}",25.33,21.0,31.0,0.12
37,BRD,-1,"{'lat': 46.397859999999994, 'lon': -94.13723}",-9.33,-18.0,-3.0,0.12
58,CLL,-1,"{'lat': 30.588590000000003, 'lon': -96.36381999999999}",67.33,-11.0,133.0,0.12
66,COU,-1,"{'lat': 38.818090000000005, 'lon': -92.21963000000001}",14.33,8.0,23.0,0.12
73,DAB,-1,"{'lat': 29.179920000000003, 'lon': -81.05806}",-8.67,-12.0,-7.0,0.12
76,DBQ,-1,"{'lat': 42.40296, 'lon': -90.70917}",-14.67,-20.0,-11.0,0.12
90,ELM,-1,"{'lat': 42.159909999999996, 'lon': -76.89144}",-20.67,-27.0,-9.0,0.12
102,FAY,-1,"{'lat': 34.99147, 'lon': -78.88}",-12.67,-16.0,-10.0,0.12
103,FCA,-1,"{'lat': 48.3114, 'lon': -114.25506999999999}",12.33,5.0,18.0,0.12
108,FSM,-1,"{'lat': 35.33659, 'lon': -94.36744}",33.33,-3.0,74.0,0.12
110,GCC,-1,"{'lat': 44.3489, 'lon': -105.53936000000002}",42.0,7.0,101.0,0.12
129,HLN,-1,"{'lat': 46.60682, 'lon': -111.98275}",23.0,-20.0,91.0,0.12
164,LBE,-1,"{'lat': 40.275940000000006, 'lon': -79.4048}",18.0,-10.0,67.0,0.12
165,LCH,-1,"{'lat': 30.1261, 'lon': -93.2234}",-5.0,-9.0,1.0,0.12
182,MEI,-1,"{'lat': 32.33313, 'lon': -88.75121}",1.67,-11.0,11.0,0.12
192,MLB,-1,"{'lat': 28.10275, 'lon': -80.64581}",-10.67,-14.0,-7.0,0.12
230,PSE,-1,"{'lat': 18.0083, 'lon': -66.56300999999999}",-6.33,-16.0,-1.0,0.12
237,RDD,-1,"{'lat': 40.50898, 'lon': -122.2934}",10.33,-12.0,51.0,0.12
240,RHI,-1,"{'lat': 45.631190000000004, 'lon': -89.46745}",0.0,-7.0,11.0,0.12
244,ROA,-1,"{'lat': 37.32547, 'lon': -79.97543}",-10.0,-14.0,-5.0,0.12
249,SAF,-1,"{'lat': 35.61678, 'lon': -106.08814}",11.0,-6.0,34.0,0.12
257,SCE,-1,"{'lat': 40.851209999999995, 'lon': -77.8463}",1.0,-1.0,3.0,0.12
262,SGU,-1,"{'lat': 37.090579999999996, 'lon': -113.59306000000001}",5.67,-5.0,20.0,0.12
264,SIT,-1,"{'lat': 57.04714, 'lon': -135.3616}",-0.33,-14.0,13.0,0.12
277,STX,-1,"{'lat': 17.70189, 'lon': -64.79856}",3.33,-8.0,22.0,0.12
278,SUN,-1,"{'lat': 43.50484, 'lon': -114.29659}",37.67,-11.0,82.0,0.12
283,TOL,-1,"{'lat': 41.58681, 'lon': -83.80783000000001}",-15.0,-26.0,-2.0,0.12
292,TYR,-1,"{'lat': 32.35414, 'lon': -95.40239}",59.67,-12.0,174.0,0.12
2,ABR,-1,"{'lat': 45.449059999999996, 'lon': -98.42183}",-9.5,-11.0,-8.0,0.08
3,ABY,-1,"{'lat': 31.53552, 'lon': -84.19447}",-14.5,-19.0,-10.0,0.08
11,ALO,-1,"{'lat': 42.55708, 'lon': -92.40034}",32.0,1.0,63.0,0.08
14,APN,-1,"{'lat': 45.078070000000004, 'lon': -83.56029000000001}",14.0,-14.0,42.0,0.08
28,BJI,-1,"{'lat': 47.50942, 'lon': -94.93372}",-15.5,-21.0,-10.0,0.08
39,BRW,-1,"{'lat': 71.28545, 'lon': -156.766}",-7.0,-9.0,-5.0,0.08
40,BTM,-1,"{'lat': 45.9548, 'lon': -112.49746}",5.5,-4.0,15.0,0.08
49,CDC,-1,"{'lat': 37.70097, 'lon': -113.09858}",2.0,-11.0,15.0,0.08
50,CEC,-1,"{'lat': 41.780159999999995, 'lon': -124.23653}",2.5,2.0,3.0,0.08
55,CIU,-1,"{'lat': 46.25075, 'lon': -84.47239}",-10.0,-14.0,-6.0,0.08
62,CMX,-1,"{'lat': 47.168420000000005, 'lon': -88.48906}",49.5,22.0,77.0,0.08
63,CNY,-1,"{'lat': 38.75496, 'lon': -109.75483999999999}",-10.5,-18.0,-3.0,0.08
64,COD,-1,"{'lat': 44.52019, 'lon': -109.0238}",39.0,3.0,75.0,0.08
80,DHN,-1,"{'lat': 31.321340000000003, 'lon': -85.44963}",-14.5,-22.0,-7.0,0.08
86,DVL,-1,"{'lat': 48.11425, 'lon': -98.90878000000001}",123.5,114.0,133.0,0.08
87,EAU,-1,"{'lat': 44.86526, 'lon': -91.48507}",-11.0,-12.0,-10.0,0.08
89,EKO,-1,"{'lat': 40.82493, 'lon': -115.7917}",-18.5,-26.0,-11.0,0.08
92,ERI,-1,"{'lat': 42.08202, 'lon': -80.17622}",-6.5,-15.0,2.0,0.08
93,ESC,-1,"{'lat': 45.72267, 'lon': -87.09373000000001}",-15.0,-16.0,-14.0,0.08
124,GTR,-1,"{'lat': 33.45033, 'lon': -88.59137}",-11.5,-12.0,-11.0,0.08
128,HIB,-1,"{'lat': 47.3866, 'lon': -92.83899}",4.5,-10.0,19.0,0.08
135,HYS,-1,"{'lat': 38.84494, 'lon': -99.27403000000001}",13.5,-23.0,50.0,0.08
143,IMT,-1,"{'lat': 45.81835, 'lon': -88.11454}",1.0,-36.0,38.0,0.08
145,INL,-1,"{'lat': 48.56619, 'lon': -93.40307}",-16.5,-24.0,-9.0,0.08
154,JMS,-1,"{'lat': 46.92972, 'lon': -98.6782}",121.5,121.0,122.0,0.08
174,LSE,-1,"{'lat': 43.87938, 'lon': -91.25654}",-15.0,-17.0,-13.0,0.08
191,MKG,-1,"{'lat': 43.16949, 'lon': -86.23822}",-15.0,-19.0,-11.0,0.08
195,MMH,-1,"{'lat': 37.62405, 'lon': -118.83776999999999}",-2.0,-4.0,0.0,0.08
206,OAJ,-1,"{'lat': 34.829159999999995, 'lon': -77.61214}",-10.5,-12.0,-9.0,0.08
215,ORH,-1,"{'lat': 42.267340000000004, 'lon': -71.87571}",6.5,-10.0,23.0,0.08
217,PAH,-1,"{'lat': 37.060829999999996, 'lon': -88.77375}",-15.0,-25.0,-5.0,0.08
224,PIB,-1,"{'lat': 31.46715, 'lon': -89.33706}",0.0,-10.0,10.0,0.08
225,PIH,-1,"{'lat': 42.91131, 'lon': -112.59586000000002}",-3.5,-11.0,4.0,0.08
227,PLN,-1,"{'lat': 45.57093, 'lon': -84.79672}",120.0,114.0,126.0,0.08
231,PSG,-1,"{'lat': 56.80165, 'lon': -132.94528}",-8.5,-14.0,-3.0,0.08
233,PUB,-1,"{'lat': 38.28909, 'lon': -104.49656999999999}",4.5,-6.0,15.0,0.08
